is_promoted,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
0,2092,Operations,region_7,Bachelor's,m,other,1,42,4,11,0,0,58
0,12576,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,37,5,8,0,0,50
1,74716,Technology,region_31,Bachelor's,m,other,1,36,5,2,1,0,82
0,6383,Sales & Marketing,region_30,Bachelor's,m,sourcing,2,27,3,4,0,0,50
0,34886,Technology,region_2,Below Secondary,f,referred,1,22,3,2,0,0,80
0,55092,Operations,region_7,Bachelor's,m,other,1,46,1,3,0,0,58
1,20924,Operations,region_2,Master's & above,m,other,1,39,3,5,0,0,78
0,17995,Operations,region_2,Bachelor's,f,other,1,52,1,12,0,0,60
0,3221,Operations,region_7,Bachelor's,m,other,1,37,5,2,1,0,56
0,72761,Sales & Marketing,region_2,Bachelor's,f,other,2,31,1,7,0,0,49
0,72394,Sales & Marketing,region_14,Bachelor's,m,other,2,36,4,7,0,0,50
0,33294,Sales & Marketing,region_23,Bachelor's,m,other,3,40,3,6,0,0,57
0,21021,Sales & Marketing,region_10,Bachelor's,m,other,1,25,3,2,0,0,49
0,3196,Analytics,region_26,Bachelor's,m,other,1,33,3,6,0,0,83
0,55374,Sales & Marketing,region_7,Bachelor's,f,other,1,28,3,3,0,0,48
0,12993,Sales & Marketing,region_13,Bachelor's,m,other,1,35,5,3,0,0,47
0,28482,Operations,region_14,Bachelor's,m,other,1,35,4,10,0,0,54
0,48052,Sales & Marketing,region_31,Bachelor's,m,other,1,26,3,4,0,0,50
0,12742,Procurement,region_4,Master's & above,f,other,7,33,3,6,0,0,66
0,1139,Sales & Marketing,region_23,Master's & above,m,sourcing,1,40,2,6,0,0,53
0,25207,Technology,region_22,Bachelor's,f,other,1,33,5,2,1,0,78
0,71787,Operations,region_2,Bachelor's,m,sourcing,1,44,3,4,1,0,62
0,17038,Sales & Marketing,region_14,Bachelor's,m,other,1,33,2,7,0,0,46
0,32400,Operations,region_22,Bachelor's,f,referred,2,34,3,6,1,0,60
0,46050,Technology,region_7,Master's & above,m,sourcing,1,40,5,7,1,0,78
0,4854,Sales & Marketing,region_29,Master's & above,f,sourcing,1,31,4,2,0,0,52
0,13547,Technology,region_7,Master's & above,m,other,1,36,3,3,0,0,86
0,6809,Analytics,region_26,Bachelor's,m,other,1,38,4,8,0,0,82
0,25590,Sales & Marketing,region_30,Bachelor's,m,other,1,39,4,7,0,0,48
0,58145,Procurement,region_16,Bachelor's,m,other,1,27,2,4,0,0,72
0,8913,Sales & Marketing,region_2,Bachelor's,f,other,1,56,1,16,0,0,50
1,58581,Operations,region_15,Master's & above,f,other,1,42,4,17,1,0,55
0,58160,Sales & Marketing,region_26,Bachelor's,m,other,2,30,4,5,1,0,46
0,42300,Procurement,region_2,Bachelor's,f,sourcing,1,33,2,5,0,0,70
1,74727,Sales & Marketing,region_6,Bachelor's,m,sourcing,1,30,4,4,1,0,48
0,34877,Analytics,region_29,Bachelor's,m,sourcing,1,29,5,3,1,0,87
0,23215,HR,region_20,Bachelor's,f,other,1,29,4,3,0,0,51
0,19987,Procurement,region_2,Bachelor's,f,other,1,31,4,3,0,0,70
0,6351,Technology,region_11,Bachelor's,m,other,1,33,1,5,0,0,83
0,49855,Sales & Marketing,region_27,Bachelor's,m,other,1,36,4,8,1,0,55
0,73765,Operations,region_21,Bachelor's,m,other,1,31,4,6,0,0,63
0,11864,HR,region_2,Bachelor's,m,other,1,49,5,7,0,0,54
1,36427,Sales & Marketing,region_27,Bachelor's,m,other,1,25,2,3,0,0,65
0,13501,Sales & Marketing,region_26,Bachelor's,m,other,1,41,5,7,1,0,52
0,66040,Procurement,region_4,Master's & above,m,sourcing,1,39,5,5,1,0,70
0,23258,Operations,region_19,Bachelor's,m,sourcing,2,44,4,10,1,0,59
0,60402,Procurement,region_24,Bachelor's,f,other,1,27,3,3,0,0,72
0,10694,Analytics,region_15,Bachelor's,m,other,2,32,5,5,1,0,87
0,45163,Technology,region_21,Bachelor's,m,other,1,35,1,4,0,0,79
1,3579,HR,region_10,Bachelor's,m,other,1,30,3,3,1,0,49
0,72350,Operations,region_7,Bachelor's,m,sourcing,1,51,5,3,1,0,59
0,69608,Sales & Marketing,region_8,Bachelor's,m,sourcing,1,33,3,2,0,0,45
0,10983,Sales & Marketing,region_4,Bachelor's,m,other,1,26,3,4,0,0,49
0,8866,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,26,4,3,1,0,56
0,76913,Technology,region_27,Bachelor's,m,other,1,41,3,12,1,0,80
0,57012,Sales & Marketing,region_15,Bachelor's,m,other,2,30,2,3,1,0,47
0,3434,Sales & Marketing,region_28,Master's & above,m,other,2,33,3,4,0,0,50
0,5446,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,33,2,7,0,0,44
0,57361,Technology,region_32,Bachelor's,m,sourcing,3,32,3,6,1,0,79
0,69226,Analytics,region_22,Master's & above,f,other,1,41,4,15,1,0,86
0,70453,Sales & Marketing,region_15,Master's & above,m,sourcing,1,37,1,9,0,0,48
0,60672,Operations,region_3,Master's & above,m,other,1,33,3,7,1,0,56
0,45367,Technology,region_15,Master's & above,m,other,1,33,3,4,0,0,80
0,51168,Legal,region_7,Below Secondary,m,sourcing,1,28,3,2,1,0,59
0,23014,Sales & Marketing,region_10,Master's & above,m,other,1,37,2,7,0,0,48
0,44486,Sales & Marketing,region_15,Bachelor's,m,other,1,50,3,6,0,0,47
0,13636,Sales & Marketing,region_2,Master's & above,f,other,1,47,3,5,0,0,49
0,19880,Operations,region_22,Bachelor's,m,other,1,38,5,7,0,0,61
0,38014,Operations,region_15,Bachelor's,f,sourcing,1,39,5,10,1,0,61
0,20665,Sales & Marketing,region_27,Master's & above,m,other,2,39,1,8,0,0,50
0,7878,R&D,region_7,Bachelor's,m,sourcing,1,36,3,10,1,0,81
0,3225,Operations,region_8,Bachelor's,m,other,1,35,5,9,1,0,58
0,19933,Procurement,region_4,Master's & above,m,sourcing,1,50,1,16,0,0,71
0,66183,Operations,region_11,Master's & above,m,sourcing,1,40,5,4,1,0,56
0,65789,Technology,region_23,Bachelor's,f,other,1,35,3,9,0,0,81
0,50101,Sales & Marketing,region_2,Bachelor's,f,other,1,56,3,6,1,0,46
1,68339,Procurement,region_2,Bachelor's,f,other,1,58,5,3,1,0,70
0,56269,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,39,3,5,0,0,51
0,1219,Technology,region_22,Bachelor's,m,other,1,23,1,2,0,0,76
0,1906,Sales & Marketing,region_11,Bachelor's,m,sourcing,2,28,3,3,0,0,49
0,49442,HR,region_7,Bachelor's,f,other,1,30,1,3,0,0,51
0,53601,Sales & Marketing,region_2,Master's & above,f,other,1,36,1,9,0,0,45
0,20922,Sales & Marketing,region_29,Bachelor's,f,other,1,32,1,5,0,0,50
0,19716,Sales & Marketing,region_14,Bachelor's,m,sourcing,2,32,5,4,0,0,51
0,18694,Operations,region_15,Master's & above,m,sourcing,1,44,5,15,0,0,64
0,77932,Procurement,region_2,Bachelor's,m,sourcing,1,30,4,4,0,0,72
0,72670,Procurement,region_15,Master's & above,m,sourcing,1,32,5,6,1,0,68
0,26035,Technology,region_29,Bachelor's,m,sourcing,1,29,3,6,0,0,79
0,50844,Operations,region_7,Bachelor's,m,sourcing,2,30,5,5,1,0,57
1,36522,Procurement,region_2,Bachelor's,f,other,1,44,5,3,0,0,76
0,45062,Sales & Marketing,region_21,Master's & above,m,sourcing,1,29,1,5,1,0,49
1,59062,Procurement,region_17,Master's & above,f,other,1,34,4,9,1,0,86
1,5827,Operations,region_2,Master's & above,f,other,1,53,4,11,1,1,58
0,71317,Analytics,region_15,Bachelor's,m,other,1,45,4,3,0,0,81
0,65380,Analytics,region_2,Bachelor's,m,sourcing,1,30,3,5,0,0,86
0,15285,Sales & Marketing,region_27,Bachelor's,m,sourcing,2,32,1,3,0,0,52
0,16189,Sales & Marketing,region_2,Master's & above,f,other,1,38,1,4,0,0,53
0,4967,Procurement,region_17,Bachelor's,f,sourcing,1,53,3,17,0,0,74
0,4570,Operations,region_16,Bachelor's,m,sourcing,1,27,4,6,0,0,56
0,30861,Sales & Marketing,region_19,Bachelor's,m,other,1,34,2,7,0,0,48
0,10437,Sales & Marketing,region_2,Master's & above,f,other,1,34,4,2,1,0,46
0,36359,Procurement,region_4,Master's & above,m,sourcing,1,36,3,4,0,0,71
0,567,Sales & Marketing,region_29,Master's & above,m,sourcing,1,35,4,10,0,0,49
0,16626,Sales & Marketing,region_23,Bachelor's,m,other,1,34,2,4,0,0,43
0,73215,Sales & Marketing,region_22,Master's & above,f,other,2,32,3,6,1,0,51
0,74217,Procurement,region_16,Bachelor's,m,other,1,32,3,6,0,0,69
0,58657,HR,region_7,Master's & above,m,sourcing,1,38,3,12,0,0,48
0,71211,Sales & Marketing,region_25,Bachelor's,m,other,1,35,4,8,0,0,46
0,23454,Technology,region_7,Master's & above,f,other,1,42,1,5,0,0,81
0,43936,Sales & Marketing,region_7,Bachelor's,m,other,1,31,5,6,1,0,54
0,62860,Operations,region_4,Bachelor's,m,sourcing,1,32,5,5,1,0,58
